"filename", "language", "PHP", "TypeScript JSX", "JavaScript", "JSON", "CSS", "comment", "blank", "total"
"c:\xampp\htdocs\pdl-is\app\Http\Controllers\Admin\VerificationController.php", "PHP", 9, 0, 0, 0, 0, 1, 1, 11
"c:\xampp\htdocs\pdl-is\app\Http\Controllers\CaseInformationController.php", "PHP", 8, 0, 0, 0, 0, 0, 0, 8
"c:\xampp\htdocs\pdl-is\app\Http\Controllers\CustodyController.php", "PHP", 41, 0, 0, 0, 0, 4, 9, 54
"c:\xampp\htdocs\pdl-is\app\Http\Controllers\DashboardController.php", "PHP", 23, 0, 0, 0, 0, 1, 3, 27
"c:\xampp\htdocs\pdl-is\app\Http\Controllers\MedicalRecordController.php", "PHP", 8, 0, 0, 0, 0, 0, 0, 8
"c:\xampp\htdocs\pdl-is\app\Http\Controllers\PdlArchiveController.php", "PHP", 99, 0, 0, 0, 0, 19, 23, 141
"c:\xampp\htdocs\pdl-is\app\Http\Controllers\PhysicalCharacteristicController.php", "PHP", 10, 0, 0, 0, 0, 0, 1, 11
"c:\xampp\htdocs\pdl-is\app\Http\Controllers\RecordOfficer\JailEventsController.php", "PHP", 2, 0, 0, 0, 0, 0, 4, 6
"c:\xampp\htdocs\pdl-is\app\Http\Controllers\RecordOfficer\PDLManagementController.php", "PHP", 3, 0, 0, 0, 0, 0, 0, 3
"c:\xampp\htdocs\pdl-is\app\Http\Controllers\ReportController.php", "PHP", 435, 0, 0, 0, 0, 17, 74, 526
"c:\xampp\htdocs\pdl-is\app\Http\Controllers\TimeAllowanceController.php", "PHP", 48, 0, 0, 0, 0, 0, 9, 57
"c:\xampp\htdocs\pdl-is\app\Http\Controllers\UserPDLArchiveController.php", "PHP", 47, 0, 0, 0, 0, 1, 8, 56
"c:\xampp\htdocs\pdl-is\app\Http\Middleware\ShareNotifications.php", "PHP", 15, 0, 0, 0, 0, 4, 3, 22
"c:\xampp\htdocs\pdl-is\app\Http\Requests\CreatePDLOnePageRequest.php", "PHP", 1, 0, 0, 0, 0, 0, 0, 1
"c:\xampp\htdocs\pdl-is\app\Models\CourtOrder.php", "PHP", 4, 0, 0, 0, 0, 0, 0, 4
"c:\xampp\htdocs\pdl-is\app\Models\Pdl.php", "PHP", 92, 0, 0, 0, 0, 11, 17, 120
"c:\xampp\htdocs\pdl-is\app\Services\NotificationService.php", "PHP", 26, 0, 0, 0, 0, 6, 2, 34
"c:\xampp\htdocs\pdl-is\database\migrations\2025_09_16_223030_add_archiving_fields_to_pdls_table.php", "PHP", 45, 0, 0, 0, 0, 6, 5, 56
"c:\xampp\htdocs\pdl-is\database\migrations\2025_09_16_224304_add_court_order_fields_to_pdl_table.php", "PHP", 13, 0, 0, 0, 0, 13, 4, 30
"c:\xampp\htdocs\pdl-is\database\migrations\2025_09_16_225139_move_archiving_fields_to_case_information_table.php", "PHP", 75, 0, 0, 0, 0, 10, 8, 93
"c:\xampp\htdocs\pdl-is\database\migrations\2025_09_16_225451_move_archiving_fields_to_court_orders_table.php", "PHP", 73, 0, 0, 0, 0, 10, 8, 91
"c:\xampp\htdocs\pdl-is\database\migrations\2025_09_19_181009_add_archive_fields_to_pdl_table.php", "PHP", 35, 0, 0, 0, 0, 6, 5, 46
"c:\xampp\htdocs\pdl-is\database\migrations\2025_09_19_182031_add_court_order_fields_to_pdl_archive.php", "PHP", 35, 0, 0, 0, 0, 6, 5, 46
"c:\xampp\htdocs\pdl-is\database\migrations\2025_09_19_194756_make_pdl_id_nullable_in_system_notifications_table.php", "PHP", 17, 0, 0, 0, 0, 8, 4, 29
"c:\xampp\htdocs\pdl-is\database\seeders\PersonnelSeeder.php", "PHP", 0, 0, 0, 0, 0, 0, 1, 1
"c:\xampp\htdocs\pdl-is\public\build\assets\PieChart-9VGzp2I5.js", "JavaScript", 0, 0, 67, 0, 0, 11, 1, 79
"c:\xampp\htdocs\pdl-is\public\build\assets\PieChart-Rd69OCC8.js", "JavaScript", 0, 0, -71, 0, 0, -27, -1, -99
"c:\xampp\htdocs\pdl-is\public\build\assets\accordion-CWJVgog7.js", "JavaScript", 0, 0, 1, 0, 0, 0, 1, 2
"c:\xampp\htdocs\pdl-is\public\build\assets\accordion-DkYmkr0A.js", "JavaScript", 0, 0, -1, 0, 0, 0, -1, -2
"c:\xampp\htdocs\pdl-is\public\build\assets\alert-Cr1nbU3H.js", "JavaScript", 0, 0, 1, 0, 0, 0, 1, 2
"c:\xampp\htdocs\pdl-is\public\build\assets\alert-CuSR_Jww.js", "JavaScript", 0, 0, -1, 0, 0, 0, -1, -2
"c:\xampp\htdocs\pdl-is\public\build\assets\app-B6Uqmd67.css", "CSS", 0, 0, 0, 0, 1, 0, 1, 2
"c:\xampp\htdocs\pdl-is\public\build\assets\app-BvoQFbYW.css", "CSS", 0, 0, 0, 0, -1, 0, -1, -2
"c:\xampp\htdocs\pdl-is\public\build\assets\app-D7sJuwJc.js", "JavaScript", 0, 0, 76, 0, 0, 35, 13, 124
"c:\xampp\htdocs\pdl-is\public\build\assets\app-DcCWX9mk.js", "JavaScript", 0, 0, -76, 0, 0, -35, -13, -124
"c:\xampp\htdocs\pdl-is\public\build\assets\app-layout-CwuzIVoQ.js", "JavaScript", 0, 0, -45, 0, 0, -28, -8, -81
"c:\xampp\htdocs\pdl-is\public\build\assets\app-layout-l1YM3YbX.js", "JavaScript", 0, 0, 46, 0, 0, 32, 8, 86
"c:\xampp\htdocs\pdl-is\public\build\assets\appearance-B993ZYZk.js", "JavaScript", 0, 0, 4, 0, 0, 12, 1, 17
"c:\xampp\htdocs\pdl-is\public\build\assets\appearance-DCUKUIJQ.js", "JavaScript", 0, 0, -4, 0, 0, -12, -1, -17
"c:\xampp\htdocs\pdl-is\public\build\assets\archive-C-v6ttJl.js", "JavaScript", 0, 0, 2, 0, 0, 4, 1, 7
"c:\xampp\htdocs\pdl-is\public\build\assets\archive-DF7wGM0K.js", "JavaScript", 0, 0, 1, 0, 0, 0, 1, 2
"c:\xampp\htdocs\pdl-is\public\build\assets\archived-BxhXcYX6.js", "JavaScript", 0, 0, 1, 0, 0, 0, 1, 2
"c:\xampp\htdocs\pdl-is\public\build\assets\arrow-left-DfiAP-S2.js", "JavaScript", 0, 0, 2, 0, 0, 4, 1, 7
"c:\xampp\htdocs\pdl-is\public\build\assets\badge-C-b1LAND.js", "JavaScript", 0, 0, 1, 0, 0, 0, 1, 2
"c:\xampp\htdocs\pdl-is\public\build\assets\badge-DDkQ-Sjn.js", "JavaScript", 0, 0, -1, 0, 0, 0, -1, -2
"c:\xampp\htdocs\pdl-is\public\build\assets\button-u9ZiHX7C.js", "JavaScript", 0, 0, 5, 0, 0, 16, 1, 22
"c:\xampp\htdocs\pdl-is\public\build\assets\calendar-2ukcrKyw.js", "JavaScript", 0, 0, 1, 0, 0, 0, 1, 2
"c:\xampp\htdocs\pdl-is\public\build\assets\calendar-bIn4vfxR.js", "JavaScript", 0, 0, -1, 0, 0, 0, -1, -2
"c:\xampp\htdocs\pdl-is\public\build\assets\card-DLWDwqHf.js", "JavaScript", 0, 0, 1, 0, 0, 0, 1, 2
"c:\xampp\htdocs\pdl-is\public\build\assets\card-QNSo3ZOw.js", "JavaScript", 0, 0, -1, 0, 0, 0, -1, -2
"c:\xampp\htdocs\pdl-is\public\build\assets\case-information-DQiBFTjF.js", "JavaScript", 0, 0, 1, 0, 0, 0, 1, 2
"c:\xampp\htdocs\pdl-is\public\build\assets\case-information-nmOFlgB2.js", "JavaScript", 0, 0, -1, 0, 0, 0, -1, -2
"c:\xampp\htdocs\pdl-is\public\build\assets\cell-assignment-0Iw3wnF1.js", "JavaScript", 0, 0, 1, 0, 0, 0, 1, 2
"c:\xampp\htdocs\pdl-is\public\build\assets\cell-assignment-C_dND05F.js", "JavaScript", 0, 0, -1, 0, 0, 0, -1, -2
"c:\xampp\htdocs\pdl-is\public\build\assets\cell-management-BzQR_aqz.js", "JavaScript", 0, 0, -1, 0, 0, 0, -1, -2
"c:\xampp\htdocs\pdl-is\public\build\assets\cell-management-CDnBtwpe.js", "JavaScript", 0, 0, 1, 0, 0, 0, 1, 2
