"filename", "language", "JSON", "TypeScript", "PHP", "TypeScript JSX", "Ignore", "JavaScript", "Markdown", "MS SQL", "YAML", "CSS", "JSON with Comments", "XML", "comment", "blank", "total"
"c:\xampp\htdocs\pdl-is\.github\workflows\lint.yml", "YAML", 0, 0, 0, 0, 0, 0, 0, 0, 31, 0, 0, 0, 5, 10, 46
"c:\xampp\htdocs\pdl-is\.github\workflows\tests.yml", "YAML", 0, 0, 0, 0, 0, 0, 0, 0, 39, 0, 0, 0, 0, 12, 51
"c:\xampp\htdocs\pdl-is\.prettierignore", "Ignore", 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 1, 4
"c:\xampp\htdocs\pdl-is\.prettierrc", "JSON", 19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 20
"c:\xampp\htdocs\pdl-is\app\Console\Commands\CleanupLoginAttempts.php", "PHP", 0, 0, 17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 13, 10, 40
"c:\xampp\htdocs\pdl-is\app\Console\Commands\SendPdlReminders.php", "PHP", 0, 0, 24, 0, 0, 0, 0, 0, 0, 0, 0, 0, 14, 11, 49
"c:\xampp\htdocs\pdl-is\app\Http\Controllers\Admin\CourtHearingCalendarController.php", "PHP", 0, 0, 37, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 45
"c:\xampp\htdocs\pdl-is\app\Http\Controllers\Admin\ProfileManagementController.php", "PHP", 0, 0, 38, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 14, 52
"c:\xampp\htdocs\pdl-is\app\Http\Controllers\Admin\UserManagementController.php", "PHP", 0, 0, 113, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 31, 144
"c:\xampp\htdocs\pdl-is\app\Http\Controllers\Admin\VerificationController.php", "PHP", 0, 0, 91, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 12, 104
"c:\xampp\htdocs\pdl-is\app\Http\Controllers\Auth\AuthController.php", "PHP", 0, 0, 64, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 21, 85
"c:\xampp\htdocs\pdl-is\app\Http\Controllers\CaseInformationController.php", "PHP", 0, 0, 62, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 13, 76
"c:\xampp\htdocs\pdl-is\app\Http\Controllers\CellAssignmentController.php", "PHP", 0, 0, 123, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 30, 156
"c:\xampp\htdocs\pdl-is\app\Http\Controllers\CertificateController.php", "PHP", 0, 0, 176, 0, 0, 0, 0, 0, 0, 0, 0, 0, 37, 39, 252
"c:\xampp\htdocs\pdl-is\app\Http\Controllers\Controller.php", "PHP", 0, 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 3, 9
"c:\xampp\htdocs\pdl-is\app\Http\Controllers\CustodyController.php", "PHP", 0, 0, 41, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 9, 54
"c:\xampp\htdocs\pdl-is\app\Http\Controllers\DashboardController.php", "PHP", 0, 0, 671, 0, 0, 0, 0, 0, 0, 0, 0, 0, 43, 58, 772
"c:\xampp\htdocs\pdl-is\app\Http\Controllers\LawEnforcement\ProfileManagementController.php", "PHP", 0, 0, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 17
"c:\xampp\htdocs\pdl-is\app\Http\Controllers\MedicalDocumentController.php", "PHP", 0, 0, 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 4, 11
"c:\xampp\htdocs\pdl-is\app\Http\Controllers\MedicalRecordController.php", "PHP", 0, 0, 81, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 16, 97
"c:\xampp\htdocs\pdl-is\app\Http\Controllers\NotificationController.php", "PHP", 0, 0, 17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 7, 25
"c:\xampp\htdocs\pdl-is\app\Http\Controllers\PdlAlertController.php", "PHP", 0, 0, 144, 0, 0, 0, 0, 0, 0, 0, 0, 0, 30, 30, 204
"c:\xampp\htdocs\pdl-is\app\Http\Controllers\PdlArchiveController.php", "PHP", 0, 0, 99, 0, 0, 0, 0, 0, 0, 0, 0, 0, 19, 23, 141
"c:\xampp\htdocs\pdl-is\app\Http\Controllers\PhysicalCharacteristicController.php", "PHP", 0, 0, 89, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 16, 105
"c:\xampp\htdocs\pdl-is\app\Http\Controllers\RecordOfficer\JailEventsController.php", "PHP", 0, 0, 49, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 12, 62
"c:\xampp\htdocs\pdl-is\app\Http\Controllers\RecordOfficer\PDLArchiveController.php", "PHP", 0, 0, 12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 17
"c:\xampp\htdocs\pdl-is\app\Http\Controllers\RecordOfficer\PDLManagementController.php", "PHP", 0, 0, 496, 0, 0, 0, 0, 0, 0, 0, 0, 0, 18, 63, 577
"c:\xampp\htdocs\pdl-is\app\Http\Controllers\RecordOfficer\ProfileManagementController.php", "PHP", 0, 0, 39, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 14, 53
"c:\xampp\htdocs\pdl-is\app\Http\Controllers\ReportController.php", "PHP", 0, 0, 1556, 0, 0, 0, 0, 0, 0, 0, 0, 0, 69, 266, 1891
"c:\xampp\htdocs\pdl-is\app\Http\Controllers\SearchController.php", "PHP", 0, 0, 262, 0, 0, 0, 0, 0, 0, 0, 0, 0, 12, 23, 297
"c:\xampp\htdocs\pdl-is\app\Http\Controllers\SearchResultsController.php", "PHP", 0, 0, 307, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 35, 351
"c:\xampp\htdocs\pdl-is\app\Http\Controllers\SearchTestController.php", "PHP", 0, 0, 26, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 5, 32
"c:\xampp\htdocs\pdl-is\app\Http\Controllers\TimeAllowanceController.php", "PHP", 0, 0, 145, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 21, 167
"c:\xampp\htdocs\pdl-is\app\Http\Controllers\UserPDLArchiveController.php", "PHP", 0, 0, 96, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 14, 111
"c:\xampp\htdocs\pdl-is\app\Http\Middleware\Authenticate.php", "PHP", 0, 0, 22, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 6, 35
"c:\xampp\htdocs\pdl-is\app\Http\Middleware\EnsureUserIsAdmin.php", "PHP", 0, 0, 35, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10, 9, 54
"c:\xampp\htdocs\pdl-is\app\Http\Middleware\EnsureUserIsLawEnforcement.php", "PHP", 0, 0, 35, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10, 9, 54
"c:\xampp\htdocs\pdl-is\app\Http\Middleware\EnsureUserIsRecordOfficer.php", "PHP", 0, 0, 35, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10, 9, 54
"c:\xampp\htdocs\pdl-is\app\Http\Middleware\HandleAppearance.php", "PHP", 0, 0, 14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 5, 24
"c:\xampp\htdocs\pdl-is\app\Http\Middleware\HandleInertiaRequests.php", "PHP", 0, 0, 33, 0, 0, 0, 0, 0, 0, 0, 0, 0, 19, 7, 59
"c:\xampp\htdocs\pdl-is\app\Http\Middleware\ShareNotifications.php", "PHP", 0, 0, 102, 0, 0, 0, 0, 0, 0, 0, 0, 0, 11, 14, 127
"c:\xampp\htdocs\pdl-is\app\Http\Requests\Auth\LoginRequest.php", "PHP", 0, 0, 72, 0, 0, 0, 0, 0, 0, 0, 0, 0, 31, 21, 124
"c:\xampp\htdocs\pdl-is\app\Http\Requests\CreateCellRequest.php", "PHP", 0, 0, 37, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10, 47
"c:\xampp\htdocs\pdl-is\app\Http\Requests\CreatePDLOnePageRequest.php", "PHP", 0, 0, 133, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10, 18, 161
"c:\xampp\htdocs\pdl-is\app\Http\Requests\EditCellRequest.php", "PHP", 0, 0, 32, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 38
"c:\xampp\htdocs\pdl-is\app\Http\Requests\PDL\CreatePdlRequest.php", "PHP", 0, 0, 52, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 16, 68
