"filename", "language", "PHP", "JavaScript", "TypeScript", "JSON", "TypeScript JSX", "CSS", "MS SQL", "Markdown", "comment", "blank", "total"
"c:\xampp\htdocs\pdl-is\app\Console\Commands\SendEventReminders.php", "PHP", 66, 0, 0, 0, 0, 0, 0, 0, 19, 15, 100
"c:\xampp\htdocs\pdl-is\app\Http\Controllers\Admin\CourtHearingCalendarController.php", "PHP", 27, 0, 0, 0, 0, 0, 0, 0, 4, 1, 32
"c:\xampp\htdocs\pdl-is\app\Http\Controllers\Admin\ProfileManagementController.php", "PHP", 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 2
"c:\xampp\htdocs\pdl-is\app\Http\Controllers\Admin\UserManagementController.php", "PHP", 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3
"c:\xampp\htdocs\pdl-is\app\Http\Controllers\Admin\VerificationController.php", "PHP", 5, 0, 0, 0, 0, 0, 0, 0, 0, 3, 8
"c:\xampp\htdocs\pdl-is\app\Http\Controllers\AgencyController.php", "PHP", 17, 0, 0, 0, 0, 0, 0, 0, 0, 10, 27
"c:\xampp\htdocs\pdl-is\app\Http\Controllers\CaseInformationController.php", "PHP", 51, 0, 0, 0, 0, 0, 0, 0, 0, 13, 64
"c:\xampp\htdocs\pdl-is\app\Http\Controllers\CellAssignmentController.php", "PHP", 97, 0, 0, 0, 0, 0, 0, 0, 9, 19, 125
"c:\xampp\htdocs\pdl-is\app\Http\Controllers\CourtController.php", "PHP", 40, 0, 0, 0, 0, 0, 0, 0, 0, 6, 46
"c:\xampp\htdocs\pdl-is\app\Http\Controllers\CustodyController.php", "PHP", 127, 0, 0, 0, 0, 0, 0, 0, 29, 35, 191
"c:\xampp\htdocs\pdl-is\app\Http\Controllers\DashboardController.php", "PHP", 238, 0, 0, 0, 0, 0, 0, 0, 3, 11, 252
"c:\xampp\htdocs\pdl-is\app\Http\Controllers\MedicalRecordController.php", "PHP", 16, 0, 0, 0, 0, 0, 0, 0, 0, 1, 17
"c:\xampp\htdocs\pdl-is\app\Http\Controllers\PdlArchiveController.php", "PHP", 5, 0, 0, 0, 0, 0, 0, 0, 1, 2, 8
"c:\xampp\htdocs\pdl-is\app\Http\Controllers\PhysicalCharacteristicController.php", "PHP", 19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 19
"c:\xampp\htdocs\pdl-is\app\Http\Controllers\RecordOfficer\JailEventsController.php", "PHP", 92, 0, 0, 0, 0, 0, 0, 0, 6, 15, 113
"c:\xampp\htdocs\pdl-is\app\Http\Controllers\RecordOfficer\PDLManagementController.php", "PHP", 125, 0, 0, 0, 0, 0, 0, 0, 6, 34, 165
"c:\xampp\htdocs\pdl-is\app\Http\Controllers\ReportController.php", "PHP", 429, 0, 0, 0, 0, 0, 0, 0, 27, 60, 516
"c:\xampp\htdocs\pdl-is\app\Http\Controllers\RequestLogController.php", "PHP", 76, 0, 0, 0, 0, 0, 0, 0, 4, 12, 92
"c:\xampp\htdocs\pdl-is\app\Http\Controllers\SearchController.php", "PHP", 62, 0, 0, 0, 0, 0, 0, 0, 0, 9, 71
"c:\xampp\htdocs\pdl-is\app\Http\Controllers\TimeAllowanceController.php", "PHP", 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3
"c:\xampp\htdocs\pdl-is\app\Http\Controllers\UserPDLArchiveController.php", "PHP", 36, 0, 0, 0, 0, 0, 0, 0, 6, 8, 50
"c:\xampp\htdocs\pdl-is\app\Http\Middleware\LogRequestsMiddleware.php", "PHP", 12, 0, 0, 0, 0, 0, 0, 0, 5, 4, 21
"c:\xampp\htdocs\pdl-is\app\Http\Middleware\ShareNotifications.php", "PHP", 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2
"c:\xampp\htdocs\pdl-is\app\Http\Middleware\SystemLogRequestsMiddleware.php", "PHP", 245, 0, 0, 0, 0, 0, 0, 0, 45, 52, 342
"c:\xampp\htdocs\pdl-is\app\Http\Requests\CreateCellRequest.php", "PHP", 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3
"c:\xampp\htdocs\pdl-is\app\Http\Requests\CreatePDLOnePageRequest.php", "PHP", 7, 0, 0, 0, 0, 0, 0, 0, -1, 6, 12
"c:\xampp\htdocs\pdl-is\app\Http\Requests\EditCellRequest.php", "PHP", 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3
"c:\xampp\htdocs\pdl-is\app\Http\Requests\Profile\UpdateProfileRequest.php", "PHP", 18, 0, 0, 0, 0, 0, 0, 0, 5, -1, 22
"c:\xampp\htdocs\pdl-is\app\Jobs\LogRequestJob.php", "PHP", 19, 0, 0, 0, 0, 0, 0, 0, 0, 6, 25
"c:\xampp\htdocs\pdl-is\app\Models\Activity.php", "PHP", 15, 0, 0, 0, 0, 0, 0, 0, 1, 3, 19
"c:\xampp\htdocs\pdl-is\app\Models\Agency.php", "PHP", 13, 0, 0, 0, 0, 0, 0, 0, 0, 5, 18
"c:\xampp\htdocs\pdl-is\app\Models\CellTransferLog.php", "PHP", 41, 0, 0, 0, 0, 0, 0, 0, 0, 12, 53
"c:\xampp\htdocs\pdl-is\app\Models\Cells.php", "PHP", 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
"c:\xampp\htdocs\pdl-is\app\Models\Court.php", "PHP", 62, 0, 0, 0, 0, 0, 0, 0, 7, 12, 81
"c:\xampp\htdocs\pdl-is\app\Models\CourtOrder.php", "PHP", 8, 0, 0, 0, 0, 0, 0, 0, 0, 3, 11
"c:\xampp\htdocs\pdl-is\app\Models\MedicalDocument.php", "PHP", -29, 0, 0, 0, 0, 0, 0, 0, 0, -7, -36
"c:\xampp\htdocs\pdl-is\app\Models\MedicalRecord.php", "PHP", -3, 0, 0, 0, 0, 0, 0, 0, 0, -1, -4
"c:\xampp\htdocs\pdl-is\app\Models\Pdl.php", "PHP", 11, 0, 0, 0, 0, 0, 0, 0, 2, 3, 16
"c:\xampp\htdocs\pdl-is\app\Models\Personnel.php", "PHP", 0, 0, 0, 0, 0, 0, 0, 0, 0, -2, -2
"c:\xampp\htdocs\pdl-is\app\Models\PhysicalCharacteristic.php", "PHP", 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
"c:\xampp\htdocs\pdl-is\app\Models\RequestLog.php", "PHP", 45, 0, 0, 0, 0, 0, 0, 0, 0, 13, 58
"c:\xampp\htdocs\pdl-is\bootstrap\app.php", "PHP", 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2
"c:\xampp\htdocs\pdl-is\database\migrations\2025_09_20_000752_add_middlename.php", "PHP", 19, 0, 0, 0, 0, 0, 0, 0, 6, 4, 29
"c:\xampp\htdocs\pdl-is\database\migrations\2025_09_21_163812_remove_court_order_laboratory_results.php", "PHP", 25, 0, 0, 0, 0, 0, 0, 0, 6, 6, 37
