"filename", "language", "JSON", "TypeScript", "JSON with Comments", "YAML", "PHP", "JavaScript", "Ignore", "XML", "TypeScript JSX", "Markdown", "CSS", "MS SQL", "comment", "blank", "total"
"c:\xampp\htdocs\pdl-is\.github\workflows\lint.yml", "YAML", 0, 0, 0, 31, 0, 0, 0, 0, 0, 0, 0, 0, 5, 10, 46
"c:\xampp\htdocs\pdl-is\.github\workflows\tests.yml", "YAML", 0, 0, 0, 39, 0, 0, 0, 0, 0, 0, 0, 0, 0, 12, 51
"c:\xampp\htdocs\pdl-is\.prettierignore", "Ignore", 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 1, 4
"c:\xampp\htdocs\pdl-is\.prettierrc", "JSON", 19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 20
"c:\xampp\htdocs\pdl-is\app\Console\Commands\CleanupLoginAttempts.php", "PHP", 0, 0, 0, 0, 17, 0, 0, 0, 0, 0, 0, 0, 13, 10, 40
"c:\xampp\htdocs\pdl-is\app\Console\Commands\SendEventReminders.php", "PHP", 0, 0, 0, 0, 66, 0, 0, 0, 0, 0, 0, 0, 19, 15, 100
"c:\xampp\htdocs\pdl-is\app\Console\Commands\SendPdlReminders.php", "PHP", 0, 0, 0, 0, 24, 0, 0, 0, 0, 0, 0, 0, 14, 11, 49
"c:\xampp\htdocs\pdl-is\app\Http\Controllers\Admin\CourtHearingCalendarController.php", "PHP", 0, 0, 0, 0, 64, 0, 0, 0, 0, 0, 0, 0, 4, 9, 77
"c:\xampp\htdocs\pdl-is\app\Http\Controllers\Admin\ProfileManagementController.php", "PHP", 0, 0, 0, 0, 38, 0, 0, 0, 0, 0, 0, 0, 0, 16, 54
"c:\xampp\htdocs\pdl-is\app\Http\Controllers\Admin\UserManagementController.php", "PHP", 0, 0, 0, 0, 116, 0, 0, 0, 0, 0, 0, 0, 0, 31, 147
"c:\xampp\htdocs\pdl-is\app\Http\Controllers\Admin\VerificationController.php", "PHP", 0, 0, 0, 0, 96, 0, 0, 0, 0, 0, 0, 0, 1, 15, 112
"c:\xampp\htdocs\pdl-is\app\Http\Controllers\AgencyController.php", "PHP", 0, 0, 0, 0, 17, 0, 0, 0, 0, 0, 0, 0, 0, 10, 27
"c:\xampp\htdocs\pdl-is\app\Http\Controllers\Auth\AuthController.php", "PHP", 0, 0, 0, 0, 64, 0, 0, 0, 0, 0, 0, 0, 0, 21, 85
"c:\xampp\htdocs\pdl-is\app\Http\Controllers\CaseInformationController.php", "PHP", 0, 0, 0, 0, 113, 0, 0, 0, 0, 0, 0, 0, 1, 26, 140
"c:\xampp\htdocs\pdl-is\app\Http\Controllers\CellAssignmentController.php", "PHP", 0, 0, 0, 0, 220, 0, 0, 0, 0, 0, 0, 0, 12, 49, 281
"c:\xampp\htdocs\pdl-is\app\Http\Controllers\CertificateController.php", "PHP", 0, 0, 0, 0, 176, 0, 0, 0, 0, 0, 0, 0, 37, 39, 252
"c:\xampp\htdocs\pdl-is\app\Http\Controllers\Controller.php", "PHP", 0, 0, 0, 0, 5, 0, 0, 0, 0, 0, 0, 0, 1, 3, 9
"c:\xampp\htdocs\pdl-is\app\Http\Controllers\CourtController.php", "PHP", 0, 0, 0, 0, 40, 0, 0, 0, 0, 0, 0, 0, 0, 6, 46
"c:\xampp\htdocs\pdl-is\app\Http\Controllers\CustodyController.php", "PHP", 0, 0, 0, 0, 168, 0, 0, 0, 0, 0, 0, 0, 33, 44, 245
"c:\xampp\htdocs\pdl-is\app\Http\Controllers\DashboardController.php", "PHP", 0, 0, 0, 0, 909, 0, 0, 0, 0, 0, 0, 0, 46, 69, 1024
"c:\xampp\htdocs\pdl-is\app\Http\Controllers\LawEnforcement\ProfileManagementController.php", "PHP", 0, 0, 0, 0, 11, 0, 0, 0, 0, 0, 0, 0, 0, 6, 17
